class,fname,x1,y1,x2,y2
91,00287.jpg,56,299,1266,721
189,00288.jpg,60,46,258,138
15,00289.jpg,205,197,741,425
140,00290.jpg,68,30,620,506
142,00291.jpg,27,147,573,471
10,00292.jpg,133,73,806,251
104,00293.jpg,24,27,936,380
48,00294.jpg,11,141,629,386
50,00295.jpg,150,114,524,433
120,00296.jpg,18,115,618,456
87,00297.jpg,56,157,639,455
177,00298.jpg,49,67,362,245
147,00299.jpg,24,66,982,711
169,00300.jpg,41,103,994,692
121,00301.jpg,52,36,247,189
19,00302.jpg,1,37,296,171
31,00303.jpg,6,47,297,193
156,00304.jpg,14,29,235,168
143,00305.jpg,37,21,169,122
83,00306.jpg,37,125,582,456
58,00307.jpg,171,63,1187,894
6,00308.jpg,16,136,775,418
127,00309.jpg,50,122,589,338
131,00310.jpg,36,43,407,319
15,00311.jpg,1,69,280,228
73,00312.jpg,53,79,627,464
24,00313.jpg,13,44,477,289
87,00314.jpg,33,71,615,435
170,00315.jpg,555,278,1543,1207
123,00316.jpg,10,29,276,164
158,00317.jpg,2,48,300,202
11,00318.jpg,73,159,445,376
47,00319.jpg,38,8,564,402
7,00320.jpg,42,17,440,282
94,00321.jpg,42,63,593,397
75,00322.jpg,9,304,1009,677
182,00323.jpg,161,263,632,415
186,00324.jpg,15,26,199,123
128,00325.jpg,12,21,285,142
193,00326.jpg,29,28,432,249
180,00327.jpg,2,6,546,298
62,00328.jpg,41,49,244,176
114,00329.jpg,10,105,660,475
166,00330.jpg,168,92,333,305
181,00331.jpg,26,81,596,391
101,00332.jpg,76,247,396,396
103,00333.jpg,30,110,472,316
22,00334.jpg,179,300,1403,894
125,00335.jpg,23,31,236,176
112,00336.jpg,309,598,1767,995
38,00337.jpg,45,55,530,308
106,00338.jpg,14,129,441,360
56,00339.jpg,39,5,234,174
9,00340.jpg,139,152,488,305
67,00341.jpg,62,116,974,610
169,00342.jpg,152,195,502,436
147,00343.jpg,63,36,760,504
145,00344.jpg,36,59,770,397
113,00345.jpg,26,13,234,194
63,00346.jpg,112,21,2859,1928
145,00347.jpg,100,190,907,691
55,00348.jpg,14,59,522,266
89,00349.jpg,42,82,956,685
86,00350.jpg,17,52,247,158
42,00351.jpg,13,108,454,305
143,00352.jpg,107,40,433,240
117,00353.jpg,3,60,499,289
57,00354.jpg,44,212,984,596
170,00355.jpg,28,93,1011,675
115,00356.jpg,187,313,1381,1087
39,00357.jpg,31,47,415,255
29,00358.jpg,53,116,562,353
58,00359.jpg,27,71,630,422
70,00360.jpg,12,23,245,176
119,00361.jpg,17,64,941,620
50,00362.jpg,108,121,539,357
128,00363.jpg,14,60,402,300
53,00364.jpg,15,47,286,184
53,00365.jpg,17,82,630,496
32,00366.jpg,67,55,508,338
177,00367.jpg,30,118,618,334
59,00368.jpg,14,76,292,195
128,00369.jpg,40,52,603,357
10,00370.jpg,57,148,568,363
83,00371.jpg,5,56,430,245
168,00372.jpg,2,190,371,490
172,00373.jpg,243,318,805,629
6,00374.jpg,9,184,740,499
176,00375.jpg,122,48,697,401
135,00376.jpg,74,187,917,734
133,00377.jpg,20,48,624,453
156,00378.jpg,16,25,290,215
54,00379.jpg,119,194,942,586
99,00380.jpg,137,76,600,370
125,00381.jpg,66,88,455,322
146,00382.jpg,4,55,494,365
58,00383.jpg,80,1,549,431
59,00384.jpg,51,87,489,290
141,00385.jpg,217,199,631,358
56,00386.jpg,65,321,1232,828
63,00387.jpg,47,150,1007,635
131,00388.jpg,18,53,244,175
48,00389.jpg,5,96,409,262
160,00390.jpg,14,21,782,487
166,00391.jpg,433,262,1339,985
4,00392.jpg,62,220,992,667
195,00393.jpg,110,266,986,700
147,00394.jpg,229,126,624,345
131,00395.jpg,58,45,205,165
165,00396.jpg,21,99,442,295
23,00397.jpg,30,29,282,164
40,00398.jpg,29,93,408,242
26,00399.jpg,121,108,655,387
181,00400.jpg,32,51,260,153
88,00401.jpg,24,78,366,232
17,00402.jpg,1,18,392,240
110,00403.jpg,299,199,1415,894
180,00404.jpg,30,132,724,361
10,00405.jpg,42,37,624,328
75,00406.jpg,1,157,990,640
59,00407.jpg,19,136,498,329
19,00408.jpg,49,76,343,266
189,00409.jpg,21,66,605,463
5,00410.jpg,31,119,404,248
14,00411.jpg,52,47,586,260
176,00412.jpg,195,372,1908,1339
80,00413.jpg,33,150,613,401
86,00414.jpg,316,344,1269,891
55,00415.jpg,81,552,1917,1153
112,00416.jpg,122,157,921,587
50,00417.jpg,63,69,603,385
57,00418.jpg,12,70,388,273
73,00419.jpg,50,89,584,387
99,00420.jpg,71,64,425,328
152,00421.jpg,71,158,690,341
162,00422.jpg,32,74,277,203
85,00423.jpg,69,59,637,461
5,00424.jpg,22,83,415,322
7,00425.jpg,48,36,572,300
194,00426.jpg,85,318,1223,863
117,00427.jpg,33,128,581,458
179,00428.jpg,33,102,595,429
73,00429.jpg,83,182,573,402
185,00430.jpg,82,74,589,340
187,00431.jpg,47,201,534,426
163,00432.jpg,54,128,429,353
164,00433.jpg,58,189,879,642
171,00434.jpg,18,50,280,162
64,00435.jpg,20,75,606,325
51,00436.jpg,20,51,271,180
99,00437.jpg,19,67,412,314
26,00438.jpg,52,94,543,323
49,00439.jpg,11,89,644,415
107,00440.jpg,12,60,456,306
115,00441.jpg,30,35,382,235
190,00442.jpg,53,56,391,278
143,00443.jpg,37,60,218,144
79,00444.jpg,4,4,377,277
180,00445.jpg,121,169,1387,775
24,00446.jpg,17,41,465,293
162,00447.jpg,43,110,462,296
178,00448.jpg,37,67,617,437
180,00449.jpg,66,117,506,289
15,00450.jpg,57,59,506,288
189,00451.jpg,66,90,507,385
108,00452.jpg,59,42,256,165
121,00453.jpg,65,91,391,278
49,00454.jpg,251,299,1423,901
194,00455.jpg,434,136,1528,829
42,00456.jpg,79,63,285,171
118,00457.jpg,79,91,600,456
108,00458.jpg,16,96,483,277
84,00459.jpg,39,81,597,465
182,00460.jpg,95,139,886,541
179,00461.jpg,111,2,553,350
1,00462.jpg,5,8,83,58
89,00463.jpg,113,75,1551,1136
133,00464.jpg,72,216,884,579
187,00465.jpg,53,115,565,380
178,00466.jpg,104,261,511,480
14,00467.jpg,47,92,209,178
111,00468.jpg,1,18,300,147
93,00469.jpg,13,88,483,259
92,00470.jpg,4,9,409,193
18,00471.jpg,3,7,253,165
140,00472.jpg,34,315,1832,905
65,00473.jpg,18,38,249,178
129,00474.jpg,70,125,389,340
183,00475.jpg,21,85,793,389
141,00476.jpg,95,125,585,390
124,00477.jpg,160,175,923,623
174,00478.jpg,9,7,98,81
120,00479.jpg,133,38,691,514
109,00480.jpg,29,46,239,134
15,00481.jpg,6,44,270,175
184,00482.jpg,80,91,589,429
90,00483.jpg,18,26,623,342
126,00484.jpg,29,62,509,288
77,00485.jpg,70,118,401,299
58,00486.jpg,43,74,587,399
48,00487.jpg,8,23,296,167
56,00488.jpg,28,35,207,139
105,00489.jpg,55,78,454,272
29,00490.jpg,21,51,233,163
121,00491.jpg,37,14,358,288
61,00492.jpg,13,108,612,386
114,00493.jpg,19,116,700,400
173,00494.jpg,39,337,1239,711
86,00495.jpg,111,98,863,766
81,00496.jpg,24,132,1021,734
185,00497.jpg,6,79,470,287
119,00498.jpg,78,102,560,368
159,00499.jpg,12,31,412,249
84,00500.jpg,11,10,291,212
161,00501.jpg,4,30,146,86
88,00502.jpg,1,11,101,84
9,00503.jpg,11,48,491,237
129,00504.jpg,45,63,237,138
129,00505.jpg,49,88,226,172
167,00506.jpg,26,185,764,610
130,00507.jpg,139,206,590,395
167,00508.jpg,85,237,1561,1052
21,00509.jpg,64,130,554,341
114,00510.jpg,10,73,613,388
99,00511.jpg,74,43,569,407
104,00512.jpg,27,61,265,160
40,00513.jpg,12,164,533,351
109,00514.jpg,18,22,292,163
162,00515.jpg,17,70,282,166
53,00516.jpg,18,99,613,427
43,00517.jpg,20,205,1008,694
109,00518.jpg,34,57,237,178
162,00519.jpg,7,39,254,177
67,00520.jpg,14,59,253,142
153,00521.jpg,122,196,512,439
1,00522.jpg,6,7,94,68
115,00523.jpg,33,151,1000,528
126,00524.jpg,38,98,590,353
76,00525.jpg,116,148,391,318
108,00526.jpg,26,78,245,161
191,00527.jpg,56,3,736,271
121,00528.jpg,38,74,213,162
61,00529.jpg,45,44,563,415
161,00530.jpg,25,32,236,180
141,00531.jpg,167,396,1945,1016
80,00532.jpg,26,139,607,343
135,00533.jpg,40,68,487,263
139,00534.jpg,17,120,563,359
154,00535.jpg,508,240,1379,955
54,00536.jpg,29,116,593,409
172,00537.jpg,1,328,758,773
107,00538.jpg,56,214,1544,755
139,00539.jpg,30,11,413,316
72,00540.jpg,3,39,300,128
122,00541.jpg,12,52,275,208
86,00542.jpg,25,78,600,421
186,00543.jpg,8,79,397,240
179,00544.jpg,9,72,633,359
147,00545.jpg,5,569,2040,1468
34,00546.jpg,40,114,350,285
47,00547.jpg,63,110,592,351
13,00548.jpg,11,36,247,175
13,00549.jpg,8,5,547,267
98,00550.jpg,11,130,394,257
42,00551.jpg,227,315,766,532
46,00552.jpg,4,41,281,148
187,00553.jpg,16,95,628,339
138,00554.jpg,41,38,299,190
144,00555.jpg,37,89,603,317
163,00556.jpg,101,254,938,605
184,00557.jpg,117,15,723,513
82,00558.jpg,54,49,528,336
162,00559.jpg,20,65,612,409
107,00560.jpg,7,85,250,191
21,00561.jpg,151,169,573,425
59,00562.jpg,65,95,368,241
130,00563.jpg,9,78,899,520
72,00564.jpg,45,86,600,355
183,00565.jpg,187,117,649,492
29,00566.jpg,520,373,1582,1043
92,00567.jpg,19,34,247,159
138,00568.jpg,30,128,402,307
58,00569.jpg,25,234,1179,675
125,00570.jpg,10,44,239,193
131,00571.jpg,18,34,255,182
183,00572.jpg,78,245,896,604
170,00573.jpg,141,525,1803,1854
82,00574.jpg,117,95,612,362
121,00575.jpg,13,75,632,446
119,00576.jpg,20,24,232,156
71,00577.jpg,51,97,669,286
12,00578.jpg,177,229,931,789
33,00579.jpg,71,82,368,267
191,00580.jpg,49,241,1573,1075
49,00581.jpg,310,322,1121,691
138,00582.jpg,2,11,222,115
193,00583.jpg,107,66,566,314
185,00584.jpg,133,95,827,540
89,00585.jpg,388,220,1340,975
190,00586.jpg,31,105,246,194
152,00587.jpg,23,90,504,289
76,00588.jpg,12,56,247,155
41,00589.jpg,41,140,558,325
181,00590.jpg,9,16,299,204
50,00591.jpg,66,36,573,446
34,00592.jpg,62,128,615,389
80,00593.jpg,13,31,245,155
174,00594.jpg,33,85,596,395
69,00595.jpg,91,143,582,410
123,00596.jpg,9,53,212,132
75,00597.jpg,62,162,607,458
28,00598.jpg,25,84,280,198
186,00599.jpg,33,56,408,294
20,00600.jpg,47,14,360,181
63,00601.jpg,28,55,974,675
20,00602.jpg,29,24,591,388
16,00603.jpg,4,16,213,118
77,00604.jpg,59,155,734,459
160,00605.jpg,117,376,1610,1048
98,00606.jpg,99,72,894,675
59,00607.jpg,73,195,570,449
150,00608.jpg,254,283,922,469
123,00609.jpg,19,33,223,128
145,00610.jpg,395,247,1812,1254
80,00611.jpg,19,83,618,384
79,00612.jpg,33,98,594,391
169,00613.jpg,24,72,589,481
115,00614.jpg,1,18,1022,692
75,00615.jpg,76,135,965,665
98,00616.jpg,61,66,737,430
124,00617.jpg,39,83,617,477
89,00618.jpg,42,216,998,619
123,00619.jpg,50,37,308,210
58,00620.jpg,107,110,994,717
145,00621.jpg,10,28,791,520
52,00622.jpg,35,64,549,375
36,00623.jpg,33,142,612,396
84,00624.jpg,52,58,446,231
133,00625.jpg,12,41,652,341
54,00626.jpg,30,44,384,243
137,00627.jpg,143,89,390,238
91,00628.jpg,16,20,291,220
131,00629.jpg,3,10,259,193
76,00630.jpg,133,79,660,551
5,00631.jpg,11,8,270,160
24,00632.jpg,59,224,869,575
157,00633.jpg,84,285,599,699
9,00634.jpg,15,31,286,148
9,00635.jpg,60,91,727,405
153,00636.jpg,37,51,370,268
101,00637.jpg,69,43,868,467
13,00638.jpg,3,41,258,157
37,00639.jpg,44,125,668,483
150,00640.jpg,33,177,583,422
182,00641.jpg,14,113,599,417
23,00642.jpg,37,54,261,175
194,00643.jpg,35,118,573,332
109,00644.jpg,55,138,588,349
69,00645.jpg,20,13,301,113
83,00646.jpg,8,38,266,146
51,00647.jpg,169,428,1393,1001
136,00648.jpg,14,60,223,138
140,00649.jpg,64,153,818,423
32,00650.jpg,64,136,439,329
182,00651.jpg,8,147,782,511
142,00652.jpg,6,21,318,140
16,00653.jpg,15,46,194,109
61,00654.jpg,55,61,799,445
175,00655.jpg,82,185,928,579
185,00656.jpg,43,75,445,252
38,00657.jpg,6,15,271,160
164,00658.jpg,192,235,1260,878
127,00659.jpg,136,308,893,710
11,00660.jpg,173,132,497,296
61,00661.jpg,8,71,421,285
125,00662.jpg,47,57,612,455
84,00663.jpg,49,91,675,322
29,00664.jpg,31,66,619,425
156,00665.jpg,12,46,239,154
184,00666.jpg,127,137,673,352
135,00667.jpg,21,44,453,318
80,00668.jpg,14,48,256,164
70,00669.jpg,12,41,246,186
2,00670.jpg,97,49,455,326
137,00671.jpg,24,91,506,270
119,00672.jpg,50,16,226,184
86,00673.jpg,25,1,259,189
119,00674.jpg,5,16,153,102
38,00675.jpg,103,289,1049,584
61,00676.jpg,35,107,620,389
100,00677.jpg,11,34,217,140
27,00678.jpg,105,400,978,692
101,00679.jpg,190,229,681,454
136,00680.jpg,59,52,247,155
20,00681.jpg,5,32,588,340
90,00682.jpg,11,15,297,201
185,00683.jpg,108,1,550,295
25,00684.jpg,68,37,698,446
137,00685.jpg,260,498,1700,1030
15,00686.jpg,30,52,385,190
140,00687.jpg,167,84,854,575
140,00688.jpg,75,6,864,628
24,00689.jpg,59,63,369,293
12,00690.jpg,111,55,346,217
2,00691.jpg,84,189,573,376
58,00692.jpg,48,45,589,320
86,00693.jpg,64,103,934,617
62,00694.jpg,14,43,221,150
111,00695.jpg,87,80,567,458
122,00696.jpg,2,73,567,331
4,00697.jpg,16,55,560,382
51,00698.jpg,29,24,219,151
129,00699.jpg,37,36,609,376
5,00700.jpg,93,101,404,274
31,00701.jpg,22,49,276,181
138,00702.jpg,567,449,1428,988
115,00703.jpg,21,137,472,337
137,00704.jpg,11,29,631,435
95,00705.jpg,17,8,343,248
145,00706.jpg,13,20,626,446
1,00707.jpg,26,32,677,418
164,00708.jpg,102,298,903,609
36,00709.jpg,129,256,729,498
46,00710.jpg,13,34,272,147
169,00711.jpg,29,19,623,405
149,00712.jpg,457,414,1308,951
86,00713.jpg,58,82,966,720
60,00714.jpg,75,121,603,370
114,00715.jpg,47,89,690,441
38,00716.jpg,8,91,257,189
106,00717.jpg,21,31,609,359
145,00718.jpg,296,222,1121,607
184,00719.jpg,118,93,380,317
80,00720.jpg,10,62,152,117
117,00721.jpg,74,231,418,360
74,00722.jpg,62,102,565,405
19,00723.jpg,25,241,751,524
51,00724.jpg,100,27,238,125
63,00725.jpg,206,55,808,570
165,00726.jpg,7,85,246,182
151,00727.jpg,1,31,208,92
73,00728.jpg,38,66,266,181
129,00729.jpg,64,160,420,347
159,00730.jpg,30,56,619,395
103,00731.jpg,30,37,608,331
41,00732.jpg,40,349,571,613
24,00733.jpg,289,136,555,306
165,00734.jpg,16,157,778,520
130,00735.jpg,10,60,894,506
179,00736.jpg,18,4,428,251
88,00737.jpg,39,12,216,187
55,00738.jpg,42,153,602,389
58,00739.jpg,29,86,601,373
3,00740.jpg,37,77,582,342
111,00741.jpg,41,81,629,410
5,00742.jpg,5,25,271,177
87,00743.jpg,45,115,627,455
137,00744.jpg,51,52,541,364
61,00745.jpg,32,72,591,386
41,00746.jpg,10,18,242,181
167,00747.jpg,213,307,763,557
69,00748.jpg,54,39,392,188
44,00749.jpg,15,36,271,154
24,00750.jpg,17,70,370,257
55,00751.jpg,66,247,978,527
168,00752.jpg,305,270,1439,959
106,00753.jpg,68,128,549,419
95,00754.jpg,60,2,578,440
12,00755.jpg,30,32,593,296
153,00756.jpg,21,47,580,344
124,00757.jpg,85,118,379,290
49,00758.jpg,30,154,771,502
47,00759.jpg,25,99,602,388
170,00760.jpg,100,5,1179,862
87,00761.jpg,57,131,570,397
172,00762.jpg,6,106,611,372
174,00763.jpg,66,176,588,362
165,00764.jpg,8,106,391,262
21,00765.jpg,6,24,297,153
174,00766.jpg,18,92,532,297
22,00767.jpg,106,73,805,546
82,00768.jpg,9,33,246,161
61,00769.jpg,61,222,959,569
24,00770.jpg,21,45,772,547
168,00771.jpg,22,59,626,412
20,00772.jpg,30,31,611,453
1,00773.jpg,33,50,197,150
91,00774.jpg,45,199,615,432
138,00775.jpg,82,99,565,351
119,00776.jpg,15,45,639,420
120,00777.jpg,18,40,491,283
180,00778.jpg,60,17,455,322
68,00779.jpg,17,121,555,384
18,00780.jpg,36,63,478,234
88,00781.jpg,38,6,595,476
101,00782.jpg,68,95,593,319
79,00783.jpg,156,255,955,619
103,00784.jpg,42,163,725,382
22,00785.jpg,19,96,469,266
191,00786.jpg,13,32,774,529
141,00787.jpg,114,128,800,432
115,00788.jpg,30,105,294,233
162,00789.jpg,23,25,245,150
131,00790.jpg,124,406,1546,1120
135,00791.jpg,9,61,334,199
35,00792.jpg,155,59,532,361
24,00793.jpg,7,50,394,261
139,00794.jpg,23,102,408,265
51,00795.jpg,9,30,251,169
184,00796.jpg,38,213,564,436
191,00797.jpg,135,62,922,611
27,00798.jpg,10,1,576,261
172,00799.jpg,11,96,625,387
107,00800.jpg,3,73,211,148
103,00801.jpg,57,158,351,296
163,00802.jpg,45,140,357,247
24,00803.jpg,36,36,549,457
166,00804.jpg,78,31,570,419
190,00805.jpg,15,32,296,149
92,00806.jpg,79,171,713,385
121,00807.jpg,13,87,630,401
119,00808.jpg,9,46,141,94
160,00809.jpg,58,13,579,414
111,00810.jpg,66,18,237,185
117,00811.jpg,49,114,577,367
68,00812.jpg,1,63,480,315
139,00813.jpg,32,93,941,696
82,00814.jpg,17,35,234,167
